Genre,Parent Genre
Instrumental Hip Hop,Hip Hop
Rare Phonk,Instrumental Hip Hop
Japanese Hip Hop,Hip Hop
Jazz Rap,Hip Hop
Jigg,Hip Hop
Jook,Hip Hop
Latin Rap,Hip Hop
Chicano Rap,Latin Rap
Lo-Fi Hip Hop,Hip Hop
Miami Bass,Hip Hop
Mobb Music,Hip Hop
Nerdcore Hip Hop,Hip Hop
Nervous Music,Hip Hop
Political Hip Hop,Hip Hop
Pop Rap,Hip Hop
Bop,Pop Rap
Futuristic Swag,Pop Rap
Ratchet Music,Pop Rap
Snap Music,Pop Rap
Southern Hip Hop,Hip Hop
Trap,Hip Hop
Detroit Trap,Trap
Drill Music,Trap
Chicago Drill,Drill
Bop,Chicago Drill
Jersey Drill,Drill
Sample Drill,Drill
UK Drill,Drill
Futuristic Swag,Trap
No Melody,Trap
Plugg,Trap
Dark Plugg,Plugg
PluggnB,Plugg
Rage,Trap
Rare Phonk,Trap
Sigilkore,Trap
Trap Metal,Trap
Trap shaabi,Trap
Tread Music,Trap
Turntablism,Hip Hop
UK Hip Hop,Hip Hop
West Coast Hip Hop,Hip Hop
Folk,NA
Contemporary Folk,Folk
American Primitivism,Contemporary Folk
Anti-Folk,Contemporary Folk
Avant-Folk,Contemporary Folk
Free Folk,Contemporary Folk
Campus Folk,Contemporary Folk
Chamber Folk,Contemporary Folk
Folk Baroque,Contemporary Folk
Folk Pop,Contemporary Folk
Indie Folk,Contemporary Folk
Neofolk,Contemporary Folk
Dark Folk,Neofolk
Progressive Folk,Contemporary Folk
Skiffle,Contemporary Folk
Xinyao,Contemporary Folk
Traditional Folk Music,Folk
African Folk Music,Traditional Folk Music
Ambasse bey,African Folk Music
African Folk Music developed by the Yabassi people of Cameroon.,African Folk Music
Apala,African Folk Music
Batuque,African Folk Music
Dagomba Music,African Folk Music
Gnawa,African Folk Music
Kabye Folk Music,African Folk Music
Kilapanga,African Folk Music
Malagasy Folk Music,African Folk Music
Mbenga-Mbuti Music,African Folk Music
Moutya,African Folk Music
Ngoma,African Folk Music
Unyago,Ngoma
Semba,African Folk Music
Southern African Folk Music,African Folk Music
Afrikaner Folk Music,Southern African Folk Music
Khoisan Folk Music,Southern African Folk Music
Nguni Folk Music,Southern African Folk Music
Shona Mbira Music,Southern African Folk Music
Sotho-Tswana Folk Music,Southern African Folk Music
Tchinkoumé,Southern African Folk Music
Traditional Maloya,African Folk Music
Traditional Séga,African Folk Music
Zinli,African Folk Music
American Folk Music,Traditional Folk Music
Appalachian Folk Music,American Folk Music
Old-Time,Appalachian Folk Music
Barbershop,American Folk Music
Country Blues,American Folk Music
Acoustic Texas Blues,Country Blues
Delta Blues,Country Blues
Hill Country Blues,Country Blues
Piedmont Blues,Country Blues
Field Hollers,American Folk Music
Fife and Drum Blues,American Folk Music
Jug Band,American Folk Music
Ring Shout,American Folk Music
Sacred Harp Music,American Folk Music
Spirituals,American Folk Music
Talking Blues,American Folk Music
Traditional Black Gospel,American Folk Music
Traditional Cajun Music,American Folk Music
Arabic Folk Music,Traditional Folk Music
Aita,Arabic Folk Music
Arabic Bellydance Music,Arabic Folk Music
Australian Folk Music,Traditional Folk Music
Austronesian Traditional Music,Traditional Folk Music
Gondang,Austronesian Traditional Music
Indigenous Taiwanese Music,Austronesian Traditional Music
Pakacaping Music,Austronesian Traditional Music
Brazilian Folk Music,Traditional Folk Music
Aboio,Brazilian Folk Music
Aboio cantado,Aboio
Banda de pífano,Brazilian Folk Music
Candomblé Music,Brazilian Folk Music
Cantoria,Brazilian Folk Music
Repente,Cantoria
Capoeira Music,Brazilian Folk Music
Fandango caiçara,Brazilian Folk Music
Jongo,Brazilian Folk Music
Ponto de umbanda,Jongo
Lundu,Brazilian Folk Music
Maracatu,Brazilian Folk Music
Modinha,Brazilian Folk Music
Rasqueado,Brazilian Folk Music
Samba de roda,Brazilian Folk Music
Sertanejo de raiz,Brazilian Folk Music
Moda de viola,Sertanejo de raiz
Buryat Folk Music,Traditional Folk Music
Canadian Folk Music,Traditional Folk Music
Canadian Maritime Folk,Canadian Folk Music
Cape Breton Folk Music,Canadian Maritime Folk
Cape Breton Fiddling,Cape Breton Fiddling
French-Canadian Folk Music,Canadian Maritime Folk
Newfoundland Folk Music,Canadian Maritime Folk
Caribbean Folk Music,Traditional Folk Music
Bele,Caribbean Folk Music
Benna,Caribbean Folk Music
Bomba,Caribbean Folk Music
Fungi,Caribbean Folk Music
Garifuna Folk Music,Caribbean Folk Music
Haitian Vodou Drumming,Caribbean Folk Music
Jibaro,Caribbean Folk Music
Kitchen Dance Music,Caribbean Folk Music
Mento,Caribbean Folk Music
Méringue,Caribbean Folk Music
Plena,Caribbean Folk Music
Ripsaw,Caribbean Folk Music
Trinidadian Cariso,Caribbean Folk Music
Tumba,Caribbean Folk Music
Virgin Islander Cariso,Caribbean Folk Music
Caucasian Folk Music,Traditional Folk Music
Abkhazian Folk Music,Caucasian Folk Music
Chechen Folk Music,Caucasian Folk Music
Circassian Folk Music,Caucasian Folk Music
Dagestani Folk Music,Caucasian Folk Music
Avar Folk Music,Dagestani Folk Music
Georgian Folk Music,Caucasian Folk Music
Ossetian Folk Music,Caucasian Folk Music
Chukchi Folk Music,Traditional Folk Music
East Asian Folk Music,Traditional Folk Music
Chinese Folk Music,East Asian Folk Music
Han Folk Music,Chinese Folk Music
Jiangnan sizhu,Chinese Folk Music
Shan’ge,Chinese Folk Music
Indigenous Taiwanese Music,East Asian Folk Music
Japanese Folk Music,East Asian Folk Music
Amami shimauta,Japanese Folk Music
Heikyoku,Japanese Folk Music
Kagura,Japanese Folk Music
Kouta,Japanese Folk Music
Min'yō,Japanese Folk Music
Ondō,Japanese Folk Music
Rōkyoku,Japanese Folk Music
Taiko,Japanese Folk Music
Tsugaru shamisen,Japanese Folk Music
Korean Folk Music,East Asian Folk Music
Pansori,Korean Folk Music
Sanjo,Korean Folk Music
Sinawi,Korean Folk Music
Vietnamese Folk Music,East Asian Folk Music
Chèo,Vietnamese Folk Music
Quan họ,Vietnamese Folk Music
Xẩm,Vietnamese Folk Music
European Folk Music,Traditional Folk Music
Alpine Folk Music,European Folk Music
Narodno zabavna glasba,Alpine Folk Music
Naturjodel,Alpine Folk Music
Balkan Folk Music,European Folk Music
Albanian Folk Music,Balkan Folk Music
Lab Polyphony,Albanian Folk Music
Musika popullore,Albanian Folk Music
Tosk Polyphony,Albanian Folk Music
Aromanian Folk Music,Balkan Folk Music
Balkan Brass Band,Balkan Folk Music
Bosnian Folk Music,Balkan Folk Music
Izvorna bosanska muzika,Bosnian Folk Music
Sevdalinka,Bosnian Folk Music
Bulgarian Folk Music,Balkan Folk Music
Croatian Folk Music,Balkan Folk Music
Klapa,Croatian Folk Music
Csango Folk Music,Balkan Folk Music
Gagauz Folk Music,Balkan Folk Music
Ganga,Balkan Folk Music
Greek Folk Music,Balkan Folk Music
Aegean Islands Folk Music,Greek Folk Music
Cretan Folk Music,Greek Folk Music
Rizitika,Cretan Folk Music
Dimotika,Greek Folk Music
Ionian Islands Folk Music,Greek Folk Music
Rembetika,Greek Folk Music
Macedonian Folk Music,Balkan Folk Music
Čalgija,Macedonian Folk Music
Montenegrin Folk Music,Balkan Folk Music
Muzică lăutărească,Balkan Folk Music
Serbian Folk Music,Balkan Folk Music
Starogradska muzika,Balkan Folk Music
Čalgija,Starogradska muzika
Baltic Folk Music,European Folk Music
Latvian Folk Music,Baltic Folk Music
Lithuanian Folk Music,Baltic Folk Music
Sutartinės,Lithuanian Folk Music
Balto-Finnic Folk Music,European Folk Music
Estonian Folk Music,Balto-Finnic Folk Music
Seto leelo,Estonian Folk Music
Finnish Folk Music,Balto-Finnic Folk Music
Karelian Folk Music,Balto-Finnic Folk Music
Livonian Folk Music,Balto-Finnic Folk Music
Rune Singing,Balto-Finnic Folk Music
Seto leelo,Rune Singing
Basque Folk Music,European Folk Music
Catalan Folk Music,European Folk Music
Sardana,Catalan Folk Music
Celtic Folk Music,European Folk Music
Asturian Folk Music,Celtic Folk Music
Breton Celtic Folk Music,Celtic Folk Music
Bagad,Breton Celtic Folk Music
Cape Breton Folk Music,Celtic Folk Music
Cape Breton Fiddling,Cape Breton Folk Music
Cornish Folk Music,Celtic Folk Music
Galician Folk Music,Celtic Folk Music
Irish Folk Music,Celtic Folk Music
Sean-nós,Irish Folk Music
Manx Folk Music,Celtic Folk Music
Scottish Folk Music,Celtic Folk Music
Òrain Ghàidhlig,Scottish Folk Music
Òrain luaidh,Òrain Ghàidhlig
Seinn nan salm,Òrain Ghàidhlig
Pìobaireachd,Scottish Folk Music
Pipe Band,Scottish Folk Music
Scots Song,Scottish Folk Music
Shetland & Orkney Folk Music,Scottish Folk Music
Trás-os-Montes Folk Music,Celtic Folk Music
Welsh Folk Music,Celtic Folk Music
Dutch Folk Music,European Folk Music
English Folk Music,European Folk Music
Cornish Folk Music,English Folk Music
Northumbrian Folk Music,English Folk Music
Scrumpy and Western,English Folk Music
Flemish Folk Music,European Folk Music
French Folk Music,European Folk Music
Alsatian Folk Music,French Folk Music
Breton Folk Music,French Folk Music
Breton Celtic Folk Music,Breton Folk Music
Corsican Folk Music,French Folk Music
Musette,French Folk Music
Swing musette,Musette
Occitan Folk Music,French Folk Music
Auvergnat Folk Music,Occitan Folk Music
Gascon Folk Music,Occitan Folk Music
German Folk Music,European Folk Music
Għana,European Folk Music
Hungarian Folk Music,European Folk Music
Csárdás,Hungarian Folk Music
Istrian Folk Music,European Folk Music
Italian Folk Music,European Folk Music
Cantu a tenore,Italian Folk Music
Canzone napoletana,Italian Folk Music
Liscio,Italian Folk Music
Stornello,Italian Folk Music
Tarantella,Italian Folk Music
Pizzica,Tarantella
Tammurriata,Tarantella
Trallalero,Italian Folk Music
Neo-Medieval Folk,European Folk Music
Neo-Pagan Folk,European Folk Music
Nordic Folk Music,European Folk Music
Danish Folk Music,Nordic Folk Music
Faroese Folk Music,Nordic Folk Music
Finnish Folk Music,Nordic Folk Music
Icelandic Folk Music,Nordic Folk Music
Joik,Nordic Folk Music
Nordic Old Time Dance Music,Nordic Folk Music
Polska,Nordic Old Time Dance Music
Hambo,Polska
Norwegian Folk Music,Nordic Folk Music
Swedish Folk Music,Nordic Folk Music
Hambo,Swedish Folk Music
Visor,Swedish Folk Music
Polka,European Folk Music
Portuguese Folk Music,European Folk Music
Cante alentejano,Portuguese Folk Music
Chamarrita açoriana,Portuguese Folk Music
Fado,Portuguese Folk Music
Fado de Coimbra,Fado
Trás-os-Montes Folk Music,Portuguese Folk Music
Romanian Folk Music,European Folk Music
Bocet,Romanian Folk Music
Colinde,Romanian Folk Music
Doină,Romanian Folk Music
Muzică lăutărească,Romanian Folk Music
Slavic Folk Music,European Folk Music
Belarusian Folk Music,Slavic Folk Music
Bosnian Folk Music,Slavic Folk Music
Bulgarian Folk Music,Slavic Folk Music
Croatian Folk Music,Slavic Folk Music
Czech Folk Music,Slavic Folk Music
Ganga,Slavic Folk Music
Goral Music,Slavic Folk Music
Polish Goral Music,Goral Music
Macedonian Folk Music,Slavic Folk Music
Montenegrin Folk Music,Slavic Folk Music
Moravian Folk Music,Slavic Folk Music
Polish Folk Music,Slavic Folk Music
Folklor miejski,Polish Folk Music
Warsaw City Folk,Folklor miejski
Kashubian Folk Music,Polish Folk Music
Krakowiak,Polish Folk Music
Kujawiak,Polish Folk Music
Kurpian Folk Music,Polish Folk Music
Oberek,Polish Folk Music
Polish Goral Music,Polish Folk Music
Russian Folk Music,Slavic Folk Music
Serbian Folk Music,Slavic Folk Music
Slovak Folk Music,Slavic Folk Music
Slovenian Folk Music,Slavic Folk Music
Narodno zabavna glasba,Slovenian Folk Music
Starogradska muzika,Slavic Folk Music
Ukrainian Folk Music,Slavic Folk Music
Duma,Ukrainian Folk Music
Hutsul Folk Music,Ukrainian Folk Music
Spanish Folk Music,European Folk Music
Andalusian Folk Music,Spanish Folk Music
Saeta,Andalusian Folk Music
Sevillanas,Andalusian Folk Music
Aragonese Folk Music,Spanish Folk Music
Asturian Folk Music,Spanish Folk Music
Canarian Folk Music,Spanish Folk Music
Chotis madrileño,Spanish Folk Music
Copla,Spanish Folk Music
Cuplé,Spanish Folk Music
Galician Folk Music,Spanish Folk Music
Pasodoble,Spanish Folk Music
Volga-Ural Folk Music,European Folk Music
Bashkir Folk Music,Volga-Ural Folk Music
Chuvash Folk Music,Volga-Ural Folk Music
Komi Folk Music,Volga-Ural Folk Music
Mari Folk Music,Volga-Ural Folk Music
Mordvin Folk Music,Volga-Ural Folk Music
Udmurt Folk Music,Volga-Ural Folk Music
Volga Tatar Folk Music,Volga-Ural Folk Music
Walloon Folk Music,European Folk Music
White Voice,European Folk Music
Yiddish Folksong,European Folk Music
Hazara Folk Music,Traditional Folk Music
Hill Tribe Music,Traditional Folk Music
Hmong Folk Music,Hill Tribe Music
Hispanic American Folk Music,Traditional Folk Music
Bambuco,Hispanic American Folk Music
Bomba,Hispanic American Folk Music
Candombe,Hispanic American Folk Music
Canto a lo poeta,Hispanic American Folk Music
Carranga,Hispanic American Folk Music
Chacarera,Hispanic American Folk Music
Chamarrita rioplatense,Hispanic American Folk Music
Cueca,Hispanic American Folk Music
Huayno,Hispanic American Folk Music
Bolivian Huayño,Huayno
Carnavalito,Huayno
Jibaro,Hispanic American Folk Music
Joropo,Hispanic American Folk Music
Malagueña venezolana,Hispanic American Folk Music
Mexican Folk Music,Hispanic American Folk Music
Canto cardenche,Mexican Folk Music
Son calentano,Mexican Folk Music
Son huasteco,Mexican Folk Music
Son istmeño,Mexican Folk Music
Son jarocho,Mexican Folk Music
Trova yucateca,Mexican Folk Music
Milonga,Hispanic American Folk Music
Muliza,Hispanic American Folk Music
Música criolla peruana,Hispanic American Folk Music
Marinera,Música criolla peruana
Tondero,Música criolla peruana
Vals criollo,Música criolla peruana
Plena,Hispanic American Folk Music
Saya,Hispanic American Folk Music
Tamborito,Hispanic American Folk Music
Taquirari,Hispanic American Folk Music
Tonada chilena,Hispanic American Folk Music
Yaraví,Hispanic American Folk Music
Zamacueca,Hispanic American Folk Music
Zamba,Hispanic American Folk Music
Indigenous American Traditional Music,Traditional Folk Music
Athabaskan Fiddling,Indigenous American Traditional Music
Inuit Vocal Games,Indigenous American Traditional Music
James Bay Fiddling,Indigenous American Traditional Music
Mapuche Folk Music,Indigenous American Traditional Music
Tonada potosina,Indigenous American Traditional Music
Ladino Folksong,Traditional Folk Music
Ob-Ugric Folk Music,Traditional Folk Music
Payada,Traditional Folk Music
Romani Folk Music,Traditional Folk Music
Samoyedic Folk Music,Traditional Folk Music
South Asian Folk Music,Traditional Folk Music
Assamese Folk Music,South Asian Folk Music
Bengali Folk Music,South Asian Folk Music
Baul gaan,Bengali Folk Music
Bhojpuri Folk Music,South Asian Folk Music
Boduberu,South Asian Folk Music
Burushaski Folk Music,South Asian Folk Music
Gujarati Folk Music,South Asian Folk Music
Kannada Folk Music,South Asian Folk Music
Kirtan,South Asian Folk Music
Malayali Folk Music,South Asian Folk Music
Marathi Folk Music,South Asian Folk Music
Newa Folk Music,South Asian Folk Music
Odia Folk Music,South Asian Folk Music
Pashto Folk Music,South Asian Folk Music
Punjabi Folk Music,South Asian Folk Music
Rajasthani Folk Music,South Asian Folk Music
Sinhalese Folk Music,South Asian Folk Music
Sarala gee,Sinhalese Folk Music
Tamil Folk Music,South Asian Folk Music
Urumi melam,Tamil Folk Music
Telugu Folk Music,South Asian Folk Music
Southeast Asian Folk Music,Traditional Folk Music
Balitaw,Southeast Asian Folk Music
Bamar Folk Music,Southeast Asian Folk Music
Gondang,Southeast Asian Folk Music
Hmong Folk Music,Southeast Asian Folk Music
Khmer Folk Music,Southeast Asian Folk Music
Kuda kepang,Southeast Asian Folk Music
Kundiman,Southeast Asian Folk Music
Lao Folk Music,Southeast Asian Folk Music
Malay Folk Music,Southeast Asian Folk Music
Rapai dabõih,Southeast Asian Folk Music
Thai Folk Music,Southeast Asian Folk Music
Fon leb,Thai Folk Music
West Asian Folk Music,Traditional Folk Music
Alevi Folk Music,West Asian Folk Music
Armenian Folk Music,West Asian Folk Music
Kef Music,Armenian Folk Music
Assyrian Folk Music,West Asian Folk Music
Israeli Folk Music,West Asian Folk Music
Kurdish Folk Music,West Asian Folk Music
Luri Folk Music,West Asian Folk Music
Meyxana,West Asian Folk Music
Persian Folk Music,West Asian Folk Music
Turkish Folk Music,West Asian Folk Music
Turkish Black Sea Region Folk Music,Turkish Folk Music
Uzun Hava,Turkish Folk Music
Zeybek,Turkish Folk Music
Work Songs,Traditional Folk Music
Aboio,Work Songs
Field Hollers,Work Songs
Òrain luaidh,Work Songs
Sea Shanties,Work Songs
Shan’ge,Work Songs
Yodeling,Traditional Folk Music
Country Yodeling,Yodeling
Naturjodel,Yodeling
